City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
240,Ponta Do Sol,PT,78.01,clear sky,32.6667,-17.1,Hotel do Campo
242,Columbus,US,84.11,few clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
247,Faya,SA,71.71,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
248,Half Moon Bay,US,78.13,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
249,Nara,JP,81.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
251,Gouyave,GD,84.97,clear sky,12.1646,-61.7296,Rumboat Retreat
253,Ypsonas,CY,81.45,clear sky,34.6884,32.9574,Club Aphrodite
254,Riachao Das Neves,BR,94.3,clear sky,-11.7461,-44.91,Casa Costa
255,Tura,IN,74.16,light rain,25.5198,90.2201,Hotel RIKMAN Continental
256,Otsuki,JP,77.99,few clouds,35.6,138.9333,真木温泉
257,Liverpool,GB,67.14,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
260,Hualmay,PE,67.46,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
262,Peniche,PT,80.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
263,Sovetskiy,RU,66.25,light rain,61.3614,63.5842,Apartment on Kievskaya 29
264,Lianzhou,CN,74.3,scattered clouds,24.7811,112.3825,Qingcheng Tourism Industry
267,Lompoc,US,89.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
268,Kalispell,US,91.49,clear sky,48.1958,-114.3129,Red Lion Hotel Kalispell
269,San Jose Del Palmar,CO,71.13,overcast clouds,4.9742,-76.2283,
271,Atar,MR,91.74,light rain,20.5169,-13.0499,Oumou Elghoura
273,Lenger,KZ,71.04,clear sky,42.183,69.8839,Gostevoy Dom 1
274,Eilenburg,DE,67.12,overcast clouds,51.4598,12.6334,Eiscafé-Pizzeria-Hotel Rialto
275,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
278,Angoche,MZ,73.02,broken clouds,-16.2325,39.9086,Guest House HESADA
280,Yumen,CN,78.91,overcast clouds,40.2833,97.2,
281,Verona,IT,81.43,few clouds,45.4167,11.0333,Hotel Verona
282,Upata,VE,83.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
283,Komsomolskiy,UZ,84.92,overcast clouds,40.4272,71.7189,Ikathouse
286,Nador,MA,82.65,broken clouds,35.174,-2.9287,Hôtel La Giralda
287,Pombas,CV,78.58,overcast clouds,17.1503,-25.0201,Paul Paradis
288,Carballo,ES,78.22,clear sky,43.213,-8.691,Pazo do Souto
289,Paita,PE,69.6,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
290,College,US,68.2,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
291,Envira,BR,85.33,overcast clouds,-7.3,-70.2167,
292,Tianpeng,CN,81.07,clear sky,30.9866,103.9393,Shuangliu Love Home Business Hotel
293,Poya,NC,67.32,overcast clouds,-21.35,165.15,
295,Gariaband,IN,79.88,overcast clouds,20.635,82.0614,हंसराज ट्रैक्टर
296,Fortuna,US,65.98,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
299,Tomatlan,MX,92.98,broken clouds,19.9333,-105.25,El Salvial
300,San Juan,AR,68.43,clear sky,-31.5375,-68.5364,Hotel Provincial
301,Gamboma,CG,84.9,overcast clouds,-1.8764,15.8644,Residence N'Keni
302,Severnyy,RU,71.64,clear sky,50.677,36.5532,Full House North Mini-Hotel
303,Nevelsk,RU,65.89,overcast clouds,46.6733,141.8633,Gostinitsa Viktoriya
304,Lazaro Cardenas,MX,88.27,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
306,Pizarro,CO,81.01,light rain,4.9533,-77.366,Hotel Limonar
308,Boquira,BR,89.91,clear sky,-12.8231,-42.7306,Cristal Palace Hotel
310,Conakry,GN,78.87,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
311,Namatanai,PG,77.72,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
315,Rantoul,US,84.43,broken clouds,40.3084,-88.1559,First Heritage Inn
317,Kavieng,PG,81.64,light rain,-2.5744,150.7967,Nusa Island Retreat
318,Bethel,US,86.85,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
319,Waddan,LY,91.26,clear sky,29.1614,16.139,محل الشريف محمد العايب
321,Nevers,FR,75.13,broken clouds,46.9167,3.3333,Castle Prye
322,Umm Lajj,SA,90.07,scattered clouds,25.0213,37.2685,Moon light Furnished Units
325,Ville-Marie,CA,78.49,scattered clouds,47.3335,-79.433,La Bannik
326,Paoua,CF,70.14,light rain,7.2427,16.4406,Quartier Paoua Elien
328,Karratha,AU,71.11,few clouds,-20.7377,116.8463,ibis Styles Karratha
329,Tual,ID,79.09,broken clouds,-5.6667,132.75,Grand Vilia Hotel
332,Huatusco,MX,77.31,few clouds,19.15,-96.95,Hotel Misión Cocuyos Alta Montaña
335,Odweyne,SO,75.49,scattered clouds,9.4092,45.064,Eng Hiirey House
336,Pniv,UA,65.59,light rain,48.6178,24.5287,Imperiya Hotels
337,Luanda,AO,71.6,clear sky,-8.8368,13.2343,EPIC SANA Luanda
339,Pinawa,CA,84.25,clear sky,50.1489,-95.8811,Pinawa Motel
341,Bumba,CD,71.42,scattered clouds,2.1833,22.4667,Père Carlos
342,Kasangulu,CD,80.47,few clouds,-4.5911,15.1708,Hôtel le Relais
343,Nobres,BR,92.26,clear sky,-14.7203,-56.3275,Hotel Portal Nobres
344,Natal,BR,80.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
346,Elko,US,92.64,clear sky,41.0002,-115.5012,
347,Huarmey,PE,68.04,overcast clouds,-10.0681,-78.1522,Hotel Miramar
348,Rameswaram,IN,82.74,few clouds,9.2833,79.3,Daiwik Hotels Rameswaram
349,Estelle,US,91.99,broken clouds,29.8458,-90.1067,Ohio
350,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
352,Carbonia,IT,84.0,clear sky,39.1672,8.5222,Lu 'Hotel
354,Vao,NC,67.41,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
355,Douglas,US,85.51,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
356,Dwarka,IN,81.36,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
357,Ailigandi,PA,85.12,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
358,Korla,CN,76.08,clear sky,41.7597,86.1469,Gulisitan Hotel
359,Barahona,DO,94.82,scattered clouds,18.2085,-71.1008,Hotel Caribe
361,Santa Maria Do Suacui,BR,85.87,broken clouds,-18.1903,-42.4142,Hotel Vale Verde
362,Montbrison,FR,79.14,clear sky,45.6667,4.0833,Hostellerie Del Matin Calme Hôtel à Montbrison
364,Vanimo,PG,76.08,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
366,Manicore,BR,89.55,scattered clouds,-5.8092,-61.3003,Hotel Durval
367,Caraquet,CA,70.34,scattered clouds,47.7941,-64.9386,Gite Le Poirier
368,Bartica,GY,89.92,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
369,Loa Janan,ID,73.8,light rain,-0.583,117.095,Kost bu jono
370,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
374,Esmeraldas,BR,82.71,overcast clouds,-19.7625,-44.3139,Forasteiro Pousada
375,Les Cayes,HT,89.78,clear sky,18.2,-73.75,Villa Orphee
376,Vilnius,LT,65.28,clear sky,54.6892,25.2798,Amberton Cathedral Square Hotel Vilnius
377,Maneadero,MX,77.11,few clouds,31.7167,-116.5667,Casa De Thompson
379,San Policarpo,PH,80.42,light rain,12.1791,125.5072,Agapita M. Nicart
382,Dicabisagan,PH,78.49,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
383,Nemuro,JP,65.08,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
386,Zlitan,LY,81.21,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
388,Emba,KZ,73.31,scattered clouds,48.8264,58.1442,
389,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
390,Nusaybin,TR,94.03,clear sky,37.0778,41.2178,Aydinlar Hotel
394,Mandalgovi,MN,65.41,broken clouds,45.7625,106.2708,В.Ганбат
395,Kaili,ID,66.88,overcast clouds,-3.4626,120.2147,
396,Itarema,BR,82.53,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
399,Ingham,US,81.64,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
400,Hami,CN,90.07,overcast clouds,42.8,93.45,Laoyutang Resort
402,Rosario Oeste,BR,92.25,clear sky,-14.8361,-56.4275,Alvorada Palace accomodation
403,Estremoz,PT,94.42,few clouds,38.8443,-7.5859,Dom Dinis Low Cost Hostel
406,Sakaiminato,JP,80.58,broken clouds,35.55,133.2333,Italian pasley
407,Yurimaguas,PE,93.36,few clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
410,Poum,NC,71.4,overcast clouds,-20.2333,164.0167,
411,Sao Jose Da Coroa Grande,BR,78.1,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
412,Zhezkazgan,KZ,66.97,few clouds,47.8043,67.7144,Hotel Zumrat
414,Ouadda,CF,69.22,light rain,8.0777,22.4007,
416,Pangai,TO,77.4,light rain,-19.8,-174.35,Ha'apai Beach Resort
417,Ternate,ID,79.09,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
418,Pasni,PK,81.19,light rain,25.2631,63.471,Kashmiri Hotal
420,Harper,LR,75.4,scattered clouds,4.375,-7.7169,Screensaver
422,Northam,GB,66.38,overcast clouds,51.0333,-4.2167,Durrant House Hotel
424,Georgiyevka,KZ,68.04,broken clouds,43.0369,74.7114,Gostinitsa Imperiya
426,Hobyo,SO,76.05,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
427,Sao Joao Da Barra,BR,71.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
428,Darnah,LY,80.1,clear sky,32.767,22.6367,فندق الفردوس
429,Smidovich,RU,67.93,clear sky,48.6,133.8167,Gostinnitsa
430,Mabaruma,GY,80.96,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
431,Fare,PF,78.89,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
432,Biak,ID,74.46,broken clouds,-0.9131,122.8766,Penginapan Kim
433,Lerik,AZ,66.92,clear sky,38.7726,48.4128,9 QARDAŞ
435,Turayf,SA,91.65,clear sky,31.6725,38.6637,Turaif
436,Inhambane,MZ,67.33,clear sky,-23.865,35.3833,Oceano
437,Kitimat,CA,79.92,clear sky,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
439,Zanjan,IR,68.38,few clouds,36.6736,48.4787,Qasr Hotel
440,Wajima,JP,80.58,clear sky,37.4,136.9,Wajiima Onsen Yashio
