City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Claveria,PH,18.6074,121.0832,80.01,80,91,4.56,overcast clouds
172,Paraiso,CR,9.8383,-83.8656,79.66,88,100,4.27,overcast clouds
173,Meulaboh,ID,4.1363,96.1285,76.44,90,84,1.72,broken clouds
174,Codrington,AU,-38.2667,141.9667,51.89,57,100,19.37,light rain
175,Grottammare,IT,42.9888,13.8649,78.82,76,10,3.11,clear sky
176,Ossora,RU,59.2353,163.0719,55.63,89,100,14.54,light rain
177,Buloh Kasap,MY,2.5536,102.764,76.21,90,100,3.47,overcast clouds
178,Gat,IL,31.61,34.7642,81.81,100,49,4.41,scattered clouds
179,Stanghelle,NO,60.5528,5.7357,62.92,74,100,4.92,overcast clouds
180,Sabha,LY,27.0377,14.4283,91.63,15,0,9.24,clear sky
181,Luebo,CD,-5.35,21.4167,79.61,38,37,1.45,scattered clouds
182,Alofi,NU,-19.0595,-169.9187,75.09,83,5,10.36,clear sky
183,Mokolo,CM,10.7398,13.8019,69.4,84,100,3.0,overcast clouds
184,Shimoda,JP,34.6667,138.95,79.11,91,4,10.87,clear sky
185,Aras,ES,42.5617,-2.356,77.41,44,0,3.44,clear sky
186,Clyde River,CA,70.4692,-68.5914,39.43,100,100,12.66,light rain
187,Chake Chake,TZ,-5.2459,39.7666,73.09,90,7,7.45,clear sky
188,Brenham,US,30.1669,-96.3977,100.15,38,40,5.75,scattered clouds
189,Honningsvag,NO,70.9821,25.9704,53.35,71,100,18.41,overcast clouds
190,Thompson,CA,55.7435,-97.8558,66.36,45,75,6.91,broken clouds
191,Arlit,NE,18.7369,7.3853,102.43,9,98,8.7,overcast clouds
192,Taoudenni,ML,22.6783,-3.9836,100.02,24,88,15.26,overcast clouds
193,Talnakh,RU,69.4865,88.3972,51.21,66,35,15.82,scattered clouds
194,That Phanom,TH,16.9364,104.7104,77.18,89,100,4.45,moderate rain
195,Souillac,MU,-20.5167,57.5167,70.18,78,40,23.02,scattered clouds
196,Hasaki,JP,35.7333,140.8333,75.6,88,76,7.38,broken clouds
197,Novikovo,RU,51.1537,37.8879,63.41,71,24,6.46,few clouds
198,Torbay,CA,47.6666,-52.7314,68.29,93,100,8.05,overcast clouds
199,Portland,US,45.5234,-122.6762,94.98,52,40,5.75,scattered clouds
200,Sioux Lookout,CA,50.1001,-91.917,80.67,47,40,11.5,scattered clouds
